city,week,notifications,burden,threshold,target,split,reporter_coverage,lag_1,lag_2,lag_4,lag_8,lag_13,lag_52,rolling_4_mean,rolling_4_sum,rolling_4_std,rolling_4_max,rolling_8_mean,rolling_8_sum,rolling_8_std,rolling_8_max,change_1,growth_1,acceleration,change_4,seasonal_difference,rain,rain_lag4,rain_mean4,temperature,temperature_lag4,temperature_mean4,humidity,humidity_lag4,humidity_mean4,wind,wind_lag4,wind_mean4,reporters,reporter_hhi,reporter_top_share,avs_ivs_mean,avs_ivs_iqr,avs_idhm_mean,avs_idhm_iqr,avs_renda_per_capita_mean,avs_renda_per_capita_iqr,avs_proporcao_sem_agua_esgoto_mean,avs_proporcao_sem_agua_esgoto_iqr,calendar_sin,calendar_cos
3304557,2021-01-03,5,50,2436.2,0,development,1,,,,,,,,,,,,,,,,,,,,23.8,,,26.88,,,76.67,,,2.02,,,4,0.28,0.4,0.28502289,0.126,0.76614789,0.147,1125.142,678.73,0.39301937,0.3625,0.051585425,0.99866859
3304557,2021-01-10,3,61,2436.2,0,development,1,5,,,,,,,,,,,,,,-2,-0.33333333,,,,13.4,,,27.74,,,74.58,,,1.98,,,3,0.33333333,0.33333333,0.28502289,0.126,0.76614789,0.147,1125.142,678.73,0.39301937,0.3625,0.17118054,0.98523968
3304557,2021-01-17,8,67,2436.2,0,development,1,3,5,,,,,,,,,,,,,5,1.25,7,,,0,,,27.11,,,69.19,,,2.28,,,6,0.21875,0.375,0.28502289,0.126,0.76614789,0.147,1125.142,678.73,0.39301937,0.3625,0.28829639,0.95754122
3304557,2021-01-24,18,67,2436.2,0,development,1,8,3,,,,,8.5,34,6.6583281,18,,,,,10,1.1111111,5,,,0,,9.3,28.95,,27.67,61.23,,70.4175,2.25,,2.1325,15,0.074074074,0.11111111,0.28502289,0.126,0.76614789,0.147,1125.142,678.73,0.39301937,0.3625,0.40123675,0.91597438
3304557,2021-01-31,21,66,2436.2,0,development,1,18,8,5,,,,12.5,50,8.4261498,21,,,,,3,0.15789474,-7,4,,77.3,23.8,22.675,28.32,26.88,28.03,69.19,76.67,68.5475,2.17,2.02,2.17,11,0.18820862,0.38095238,0.28502289,0.126,0.76614789,0.147,1125.142,678.73,0.39301937,0.3625,0.50836587,0.86114119
3304557,2021-02-07,14,79,2436.2,0,development,1,21,18,3,,,,15.25,61,5.6199051,21,,,,,-7,-0.31818182,-10,2.75,,29.4,13.4,26.675,24.68,27.74,27.265,81.5,74.58,70.2775,0.54,1.98,1.81,5,0.53061224,0.71428571,0.28502289,0.126,0.76614789,0.147,1125.142,678.73,0.39301937,0.3625,0.60813216,0.7938358
3304557,2021-02-14,14,91,2436.2,0,development,1,14,21,8,,,,16.75,67,3.4034296,21,,,,,0,0,7,1.5,,8.9,0,28.9,26.7,27.11,27.1625,77.16,69.19,72.27,0.92,2.28,1.47,9,0.2244898,0.42857143,0.28502289,0.126,0.76614789,0.147,1125.142,678.73,0.39301937,0.3625,0.69909067,0.71503303
3304557,2021-02-21,18,112,2436.2,0,development,1,14,14,18,,,,16.75,67,3.4034296,21,12.625,101,6.5886808,21,4,0.26666667,4,0,,17,0,33.15,25.84,28.95,26.385,81.68,61.23,77.3825,0.69,2.25,1.08,7,0.40123457,0.61111111,0.28502289,0.126,0.76614789,0.147,1125.142,678.73,0.39301937,0.3625,0.77992402,0.62587421
3304557,2021-02-28,20,130,2436.2,0,development,1,18,14,21,5,,,16.5,66,3,20,14.5,116,6.2335498,21,2,0.10526316,-2,-0.25,,0.9,77.3,14.05,27.56,28.32,26.195,71.72,69.19,78.015,0.78,2.17,0.7325,12,0.115,0.2,0.28502289,0.126,0.76614789,0.147,1125.142,678.73,0.39301937,0.3625,0.84946148,0.52765064
3304557,2021-03-07,27,153,2436.2,0,development,1,20,18,14,3,,,19.75,79,5.4390563,27,17.5,140,5.6568542,27,7,0.33333333,5,3.25,,27.7,29.4,13.625,25.23,24.68,26.3325,81.61,81.5,78.0425,0.74,0.54,0.7825,16,0.11111111,0.25925926,0.28502289,0.126,0.76614789,0.147,1125.142,678.73,0.39301937,0.3625,0.90669591,0.42178494
3304557,2021-03-14,26,184,2436.2,0,development,1,27,20,14,8,,,22.75,91,4.425306,27,19.75,158,4.8623921,27,-1,-0.035714286,-8,3,,0,8.9,11.4,26.97,26.7,26.4,76.67,77.16,77.92,0.77,0.92,0.745,11,0.21893491,0.42307692,0.28502289,0.126,0.76614789,0.147,1125.142,678.73,0.39301937,0.3625,0.95079836,0.30981039
3304557,2021-03-21,39,187,2436.2,0,development,1,26,27,18,18,,,28,112,7.9582243,39,22.375,179,8.2624365,39,13,0.48148148,14,5.25,,0.1,17,7.175,27.19,25.84,26.7375,76.08,81.68,76.52,0.77,0.69,0.765,15,0.26232742,0.48717949,0.28502289,0.126,0.76614789,0.147,1125.142,678.73,0.39301937,0.3625,0.98113009,0.19334875
3304557,2021-03-28,38,190,2436.2,0,development,1,39,26,20,21,,,32.5,130,6.9522179,39,24.5,196,9.8850537,39,-1,-0.025,-14,4.5,,31.2,0.9,14.75,25.82,27.56,26.3025,76.46,71.72,77.705,0.85,0.78,0.7825,17,0.15096953,0.28947368,0.28502289,0.126,0.76614789,0.147,1125.142,678.73,0.39301937,0.3625,0.9972518,0.074086778
3304557,2021-04-04,50,172,2436.2,0,development,1,38,39,27,14,5,,38.25,153,9.8107084,50,29,232,12.317235,50,12,0.30769231,13,5.75,,9.5,27.7,10.2,23.99,25.23,25.9925,76.13,81.61,76.335,0.76,0.74,0.7875,24,0.1016,0.26,0.28502289,0.126,0.76614789,0.147,1125.142,678.73,0.39301937,0.3625,0.99892998,-0.046248216
3304557,2021-04-11,57,153,2436.2,0,development,1,50,38,26,14,3,,46,184,9.1287093,57,34.375,275,14.090904,57,7,0.1372549,-5,7.75,,21.3,0,15.525,24.23,26.97,25.3075,72.5,76.67,75.2925,0.74,0.77,0.78,25,0.11542013,0.24561404,0.28502289,0.126,0.76614789,0.147,1125.142,678.73,0.39301937,0.3625,0.98614033,-0.16591338
3304557,2021-04-18,42,155,2436.2,0,development,1,57,50,39,18,8,,46.75,187,8.4606934,57,37.375,299,12.580455,57,-15,-0.25862069,-22,0.75,,37.9,0.1,24.975,22.8,27.19,24.21,81.59,76.08,76.67,1,0.77,0.8375,20,0.14058957,0.33333333,0.28502289,0.126,0.76614789,0.147,1125.142,678.73,0.39301937,0.3625,0.95906809,-0.28317557
3304557,2021-04-25,41,174,2436.2,0,development,1,42,57,38,20,18,,47.5,190,7.5055535,57,40,320,10.447146,57,-1,-0.023255814,14,0.75,,44.6,31.2,28.325,22.64,25.82,23.415,84.02,76.46,78.56,0.6,0.85,0.775,16,0.18857823,0.3902439,0.28502289,0.126,0.76614789,0.147,1125.142,678.73,0.39301937,0.3625,0.91810535,-0.39633643
3304557,2021-05-02,32,170,2436.2,0,development,1,41,42,50,27,21,,43,172,10.36018,57,40.625,325,9.6796916,57,-9,-0.21428571,-8,-4.5,,37.8,9.5,35.4,23.16,23.99,23.2075,83.77,76.13,80.47,0.53,0.76,0.7175,14,0.1171875,0.25,0.28502289,0.126,0.76614789,0.147,1125.142,678.73,0.39301937,0.3625,0.86384539,-0.50375703
3304557,2021-05-09,38,182,2436.2,0,development,1,32,41,57,26,14,,38.25,153,4.5,42,42.125,337,7.8456084,57,6,0.18181818,15,-4.75,,28.1,21.3,37.1,21.18,24.23,22.445,83.52,72.5,83.225,0.62,0.74,0.6875,24,0.078947368,0.21052632,0.28502289,0.126,0.76614789,0.147,1125.142,678.73,0.39301937,0.3625,0.79707408,-0.60388154
3304557,2021-05-16,44,167,2436.2,0,development,1,38,32,42,39,14,,38.75,155,5.1234754,44,42.75,342,7.7597864,57,6,0.15384615,0,0.5,,2.5,37.9,28.25,22.36,22.8,22.335,83.57,81.59,83.72,0.57,1,0.58,19,0.19628099,0.40909091,0.28502289,0.126,0.76614789,0.147,1125.142,678.73,0.39301937,0.3625,0.71875848,-0.69525984
3304557,2021-05-23,60,133,2436.2,0,development,1,44,38,41,38,18,,43.5,174,12.041595,60,45.5,364,9.5319013,60,16,0.35555556,10,4.75,,0.1,44.6,17.125,23.05,22.64,22.4375,74.14,84.02,81.25,0.69,0.6,0.6025,23,0.19722222,0.41666667,0.28502289,0.126,0.76614789,0.147,1125.142,678.73,0.39301937,0.3625,0.63003286,-0.77656847
3304557,2021-05-30,28,127,2436.2,0,development,1,60,44,32,50,20,,42.5,170,13.40398,60,42.75,342,11.093756,60,-32,-0.52459016,-48,-1,,31,37.8,15.425,23.04,23.16,22.4075,85.38,83.77,81.6525,0.51,0.53,0.5975,10,0.28571429,0.5,0.28502289,0.126,0.76614789,0.147,1125.142,678.73,0.39301937,0.3625,0.53218228,-0.8466298
3304557,2021-06-06,50,103,2436.2,0,development,1,28,60,38,57,27,,45.5,182,13.40398,60,41.875,335,10.034761,60,22,0.75862069,54,3,,10.9,28.1,11.125,22.56,21.18,22.7525,82.73,83.52,81.455,0.52,0.62,0.5725,17,0.3496,0.58,0.28502289,0.126,0.76614789,0.147,1125.142,678.73,0.39301937,0.3625,0.42662393,-0.90442912
3304557,2021-06-13,29,101,2436.2,0,development,1,50,28,44,42,26,,41.75,167,15.840349,60,40.25,322,11.016222,60,-21,-0.41176471,-43,-3.75,,9.4,2.5,12.85,19.43,22.36,22.02,81.75,83.57,81,0.5,0.57,0.555,12,0.16527943,0.31034483,0.28502289,0.126,0.76614789,0.147,1125.142,678.73,0.39301937,0.3625,0.31488664,-0.94912929
3304557,2021-06-20,26,93,2436.2,0,development,1,29,50,60,41,39,,33.25,133,11.236103,50,38.375,307,12.094125,60,-3,-0.1,18,-8.5,,6.4,0.1,14.425,21.26,23.05,21.5725,77.93,74.14,81.9475,0.78,0.69,0.5775,13,0.30769231,0.53846154,0.28502289,0.126,0.76614789,0.147,1125.142,678.73,0.39301937,0.3625,0.19858874,-0.98008291
3304557,2021-06-27,22,83,2436.2,0,development,1,26,29,28,32,38,,31.75,127,12.5,50,37.125,297,13.303464,60,-4,-0.14814815,-1,-1.5,,1.2,31,6.975,19.62,23.04,20.7175,75.25,85.38,79.415,0.68,0.51,0.62,16,0.095041322,0.22727273,0.28502289,0.126,0.76614789,0.147,1125.142,678.73,0.39301937,0.3625,0.079414622,-0.99684167
3304557,2021-07-04,26,70,2436.2,0,development,1,22,26,50,38,50,,25.75,103,2.8722813,29,35.625,285,13.855762,60,4,0.17391304,8,-6,,9.7,10.9,6.675,19.2,22.56,19.8775,84.87,82.73,79.95,0.37,0.52,0.5825,12,0.24260355,0.46153846,0.28502289,0.126,0.76614789,0.147,1125.142,678.73,0.39301937,0.3625,-0.040909686,-0.99916285
3304557,2021-07-11,27,55,2436.2,0,development,1,26,22,29,44,57,,25.25,101,2.2173558,27,33.5,268,13.690455,60,1,0.037037037,-3,-0.5,,0.7,9.4,4.5,21.44,19.43,20.38,79.55,81.75,79.4,2.06,0.5,0.9725,10,0.33333333,0.55555556,0.28502289,0.126,0.76614789,0.147,1125.142,678.73,0.39301937,0.3625,-0.16064149,-0.98701282
3304557,2021-07-18,18,40,2436.2,0,development,1,27,26,26,60,42,,23.25,93,4.1129876,27,28.25,226,9.4830676,50,-9,-0.32142857,-10,-2,,0.2,6.4,2.95,18.34,21.26,19.65,75.88,77.93,78.8875,2.27,0.78,1.345,9,0.24691358,0.44444444,0.28502289,0.126,0.76614789,0.147,1125.142,678.73,0.39301937,0.3625,-0.27804666,-0.96056757
3304557,2021-07-25,12,45,2436.2,0,development,1,18,27,22,28,41,,20.75,83,7.0887234,27,26.25,210,11.093756,50,-6,-0.31578947,3,-2.5,,15.6,1.2,6.55,19.57,19.62,19.6375,67.83,75.25,77.0325,3.25,0.68,1.9875,8,0.18055556,0.33333333,0.28502289,0.126,0.76614789,0.147,1125.142,678.73,0.39301937,0.3625,-0.3914248,-0.9202101
3304557,2021-08-01,13,46,2436.2,0,development,1,12,18,26,50,32,,17.5,70,6.8556546,27,21.625,173,6.5669628,29,1,0.076923077,7,-3.25,,0.3,9.7,4.2,18.34,19.2,19.4225,78.25,84.87,75.3775,1.98,0.37,2.39,12,0.088757396,0.15384615,0.28502289,0.126,0.76614789,0.147,1125.142,678.73,0.39301937,0.3625,-0.4991338,-0.86652493
3304557,2021-08-08,12,47,2436.2,0,development,1,13,12,27,29,38,,13.75,55,2.8722813,18,19.5,156,6.5900358,27,-1,-0.071428571,-2,-3.75,,28.5,0.7,11.15,20.93,21.44,19.295,78.41,79.55,75.0925,2.46,2.06,2.49,7,0.19444444,0.33333333,0.28502289,0.126,0.76614789,0.147,1125.142,678.73,0.39301937,0.3625,-0.59961369,-0.80028959
3304557,2021-08-15,3,57,2436.2,0,development,1,12,13,18,26,44,,10,40,4.6904158,13,16.625,133,8.1755297,27,-9,-0.69230769,-8,-3.75,,2.8,0.2,11.8,23.22,18.34,20.515,75.9,75.88,75.0975,2.02,2.27,2.4275,3,0.33333333,0.33333333,0.28502289,0.126,0.76614789,0.147,1125.142,678.73,0.39301937,0.3625,-0.69140917,-0.7224634
